"Task ID","Task Name","Assignee","Status","Date Created","Date Created Text"
"2ff2uxd","Database Table changes audit log","[Colin Bob, Kritzinger de Wet]","to do","2022-06-14T11:04:47.393Z","Tuesday, June 14th 2022, 1:04:47 pm +02:00"
"2dfyzf1","TCP connections to Peach Payments are being interrupted, affecting certain payment functionality.","[Colin Bob]","in progress","2022-05-30T17:02:16.695Z","Monday, May 30th 2022, 7:02:16 pm +02:00"
"2d4phgq","Migrate ci3.sweepsouth.io from Digital Ocean to AWS","[]","backlog","2022-05-27T09:14:39.903Z","Friday, May 27th 2022, 11:14:39 am +02:00"
"2cdpcng","Give Pieter SSH access to infrastructure","[]","to do","2022-05-20T11:34:51.515Z","Friday, May 20th 2022, 1:34:51 pm +02:00"
"28ekvxj","Implement NextJS environment variable mechanism to allow developers to manage values in app repo","[]","backlog","2022-04-22T12:19:33.341Z","Friday, April 22nd 2022, 2:19:33 pm +02:00"
"27cbeyc","How about a VPN for QA environments","[]","backlog","2022-04-13T14:50:06.639Z","Wednesday, April 13th 2022, 4:50:06 pm +02:00"
"271237y","ClientException: Too many concurrent attempts to create a new revision of the specified family, during QA deploy job","[]","backlog","2022-04-11T11:51:29.717Z","Monday, April 11th 2022, 1:51:29 pm +02:00"
"2pqdceh","Too many Invalid HTTP_HOST header exception errors","[]","backlog","2022-04-08T14:41:10.819Z","Friday, April 8th 2022, 4:41:10 pm +02:00"
"24b32yg","Make Database administrative passwords available to team.","[]","backlog","2022-03-25T12:17:05.748Z","Friday, March 25th 2022, 2:17:05 pm +02:00"
"23m6da5","Investigate why SemRush mobile bot is being blocked","[]","backlog","2022-03-15T12:35:55.906Z","Tuesday, March 15th 2022, 2:35:55 pm +02:00"
"22qnd3b","Instrument Earn More functionality and optimise to stay within lower instance type","[Colin Bob]","backlog","2022-02-25T13:16:16.124Z","Friday, February 25th 2022, 3:16:16 pm +02:00"
"22qn5v5","Investigate AuthorizationException /graphql with high frequency","[]","backlog","2022-02-25T12:28:17.387Z","Friday, February 25th 2022, 2:28:17 pm +02:00"
"22qn4nv","Investigate high latency GraphQL-Endpoints e.g. availability. Adding additional logging information.","[]","backlog","2022-02-25T12:14:31.258Z","Friday, February 25th 2022, 2:14:31 pm +02:00"
